Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
109,Cheick Diallo\diallch01,PF,20,NOP,10,96,16.6,.462,.000,.250,14.2,22.0,18.1,5.1,1.5,2.6,4.3,21.4,,0.1,0.1,0.2,.101,,-4.0,-0.7,-4.6,-0.1
110,Boris Diaw\diawbo01,PF,34,UTA,56,989,7.3,.487,.257,.118,3.7,9.1,6.5,19.1,0.7,0.2,23.0,15.8,,-0.6,1.0,0.4,.017,,-3.6,-0.3,-3.9,-0.5
111,Gorgui Dieng\dienggo01,PF,27,MIN,63,2013,14.1,.548,.059,.236,8.2,20.6,14.3,8.5,1.7,2.8,12.6,14.5,,2.2,2.3,4.5,.108,,-0.7,2.3,1.5,1.8
112,Spencer Dinwiddie\dinwisp01,PG,23,BRK,40,879,11.4,.565,.283,.454,1.7,11.6,6.7,20.1,1.2,1.2,16.0,14.2,,1.0,0.4,1.3,.073,,-1.7,-0.6,-2.3,-0.1
113,Toney Douglas\douglto01,PG,30,MEM,20,373,10.7,.452,.378,.243,3.6,14.5,8.9,22.2,2.5,1.3,14.0,17.3,,0.0,0.5,0.5,.063,,-2.0,1.3,-0.8,0.1
114,Goran Dragic\dragigo01,PG,30,MIA,57,1923,19.9,.585,.256,.334,2.7,9.9,6.3,30.6,1.7,0.4,14.8,26.8,,4.1,1.9,6.1,.151,,3.7,-0.8,2.9,2.4
115,Andre Drummond\drumman01,C,23,DET,63,1914,21.5,.523,.008,.382,14.8,36.0,25.1,5.3,2.8,3.2,12.5,23.4,,1.1,4.3,5.4,.136,,-2.1,2.7,0.7,1.3
116,Jared Dudley\dudleja01,PF,31,PHO,47,965,10.4,.595,.582,.180,2.4,14.9,8.5,11.5,1.3,1.1,16.5,13.5,,0.9,0.5,1.3,.067,,-0.1,-0.3,-0.4,0.4
117,Mike Dunleavy\dunlemi02,SF,36,TOT,42,674,9.6,.579,.626,.195,2.0,13.0,7.6,8.1,0.8,0.5,11.7,13.9,,0.6,0.5,1.1,.076,,-1.1,-1.4,-2.5,-0.1
118,Kris Dunn\dunnkr01,PG,22,MIN,59,974,8.0,.440,.243,.239,2.2,12.7,7.4,20.4,2.6,2.3,22.4,14.4,,-0.9,1.1,0.2,.010,,-3.9,1.4,-2.5,-0.1
119,Kevin Durant\duranke01,SF,28,GSW,59,1980,27.6,.651,.301,.378,2.2,23.3,13.4,22.8,1.5,3.9,10.4,27.8,,7.7,3.7,11.4,.276,,5.4,2.4,7.9,4.9
120,Henry Ellenson\ellenhe01,PF,20,DET,14,56,6.0,.448,.609,.043,3.8,20.3,11.8,10.4,0.0,0.0,17.6,22.6,,-0.1,0.0,-0.1,-0.065,,-5.0,-2.7,-7.6,-0.1
